"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "SCSS", "CSS", "JavaScript React", "comment", "blank", "total"
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/header/_nav.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/header/_searchBar.scss", "SCSS", 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/home/_home.scss", "SCSS", 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/home/_post.scss", "SCSS", 0, 0, 0, 0, 120, 0, 0, 0, 2, 122
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/home/_timeline.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 18
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/loader/_loader.scss", "SCSS", 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/login/_login.scss", "SCSS", 0, 0, 0, 0, 131, 0, 0, 0, 5, 136
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/logout/_logout.scss", "SCSS", 0, 0, 0, 0, 67, 0, 0, 0, 5, 72
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/main/_body.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/main/_index.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/newpost/_newpost.scss", "SCSS", 0, 0, 0, 0, 139, 0, 0, 0, 6, 145
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/profile/_profile.scss", "SCSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 52
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/settings/_settings.scss", "SCSS", 0, 0, 0, 0, 67, 0, 0, 0, 1, 68
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/style.css", "CSS", 0, 0, 0, 0, 0, 2046, 0, 1, 264, 2311
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/style.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/utils/ValidateUserHandler.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 5, 2, 32
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/utils/fetchPosts.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/utils/getUserById.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/utils/handleLogout.js", "JavaScript", 0, 0, 0, 48, 0, 0, 0, 1, 3, 52
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/utils/loadAndParsePost.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 6, 52
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/utils/loginHandler.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 6, 2, 44
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/utils/registerHandler.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 7, 2, 49
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/utils/uploadImage.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/utils/uploadPost.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 6, 45
"Total", "-", 25, 20, 37, 614, 1556, 2046, 1558, 95, 448, 6399
