"filename", "language", "JSON", "HTML", "JavaScript", "SCSS", "CSS", "JavaScript React", "Markdown", "comment", "blank", "total"
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/header/_header.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/header/_header.scss", "SCSS", 0, 0, 0, 73, 0, 0, 0, 0, 2, 75
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/header/_nav.scss", "SCSS", 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/header/_searchBar.css", "CSS", 0, 0, 0, 0, 50, 0, 0, 0, 7, 57
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/header/_searchBar.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/header/_searchBar.scss", "SCSS", 0, 0, 0, 51, 0, 0, 0, 0, 1, 52
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/home/_home.css", "CSS", 0, 0, 0, 0, 152, 0, 0, 0, 27, 179
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/home/_home.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/home/_home.scss", "SCSS", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/home/_post.css", "CSS", 0, 0, 0, 0, 115, 0, 0, 0, 18, 133
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/home/_post.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/home/_post.scss", "SCSS", 0, 0, 0, 117, 0, 0, 0, 0, 1, 118
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/home/_timeline.scss", "SCSS", 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/loader/_loader.scss", "SCSS", 0, 0, 0, 67, 0, 0, 0, 2, 8, 77
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/login/_login.css", "CSS", 0, 0, 0, 0, 133, 0, 0, 0, 23, 156
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/login/_login.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/login/_login.scss", "SCSS", 0, 0, 0, 131, 0, 0, 0, 0, 5, 136
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/main/_body.scss", "SCSS", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/main/_index.scss", "SCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/newpost/_newpost.css", "CSS", 0, 0, 0, 0, 71, 0, 0, 0, 11, 82
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/newpost/_newpost.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/newpost/_newpost.scss", "SCSS", 0, 0, 0, 71, 0, 0, 0, 0, 1, 72
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/settings/_settings.css", "CSS", 0, 0, 0, 0, 67, 0, 0, 0, 16, 83
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/settings/_settings.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/settings/_settings.scss", "SCSS", 0, 0, 0, 67, 0, 0, 0, 0, 1, 68
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/style.css", "CSS", 0, 0, 0, 0, 1805, 0, 0, 1, 232, 2038
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/style.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mdgaziur001/website/jagatpuri-darbar-sharif/frontend/src/styles/style.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"Total", "-", 25, 20, 287, 1364, 3190, 960, 37, 54, 582, 6519
